day,name,rugged,rolling,opens,location,details
1,Evanton Co-op,10 km,10 km,TBC,,
1,Ardgay Stores,58 km,58 km,TBC,,
1,Spar Bonar Bridge,off-route (+~6 km),89 km,TBC,,
2,Golspie (village),0 km,0 km,TBC,,
2,Brora (coastal detour),off-route (+~15 km),~12 km,TBC,,
2,Forsinard Tearoom,~52 km,off-route (+~7 km),TBC,,
2,Helmsdale shops,off-route (+~10–20 km),75 km,TBC,,
3,Garvault House (lunch),~38 km,~30 km,TBC,,
3,Bettyhill shop & bistro,~80 km,~75 km,TBC,,
3,Small croft shops / roadside kiosks,,,TBC / seasonal,scattered,
4,Crask Inn (roadside),~55 km,~40 km,"TBC, check seasonal hours",,
4,Invercassley Tearoom / small shop,~95 km,~68 km,TBC / limited hours,,
4,Local pubs (various),,,TBC,Lairg / Bonar approaches,
5,Small roadside shops (limited),variable,0–30 km,TBC,,
5,Ullapool supermarket & cafés,,,,,Large supermarket; opens TBC
6,Aultguish Inn (off-route),~35–45 km,off-route,TBC,,
6,Small roadside cafés,,,TBC,scattered,
6,Evanton / Alness shops & cafés,~92 km,~90 km,TBC,,
7,Highland Farm Café,~25 km,~12 km,10:00? — TBC,,
7,Contin shop,~30 km,~18 km,TBC,,
7,Conon Hotel / White Cottage Café,,,TBC,last 10–20 km,
